gene_symbol,ensembl_id,token_id
TSPAN6,ENSG00000000003,3
TNMD,ENSG00000000005,4
DPM1,ENSG00000000419,5
SCYL3,ENSG00000000457,6
C1orf112,ENSG00000000460,7
FGR,ENSG00000000938,8
CFH,ENSG00000000971,9
FUCA2,ENSG00000001036,10
GCLC,ENSG00000001084,11
NFYA,ENSG00000001167,12
STPG1,ENSG00000001460,13
NIPAL3,ENSG00000001461,14
LAS1L,ENSG00000001497,15
ENPP4,ENSG00000001561,16
SEMA3F,ENSG00000001617,17
CFTR,ENSG00000001626,18
ANKIB1,ENSG00000001629,19
CYP51A1,ENSG00000001630,20
KRIT1,ENSG00000001631,21
RAD52,ENSG00000002016,22
MYH16,ENSG00000002079,23
BAD,ENSG00000002330,24
LAP3,ENSG00000002549,25
CD99,ENSG00000002586,26
HS3ST1,ENSG00000002587,27
AOC1,ENSG00000002726,28
WNT16,ENSG00000002745,29
HECW1,ENSG00000002746,30
MAD1L1,ENSG00000002822,31
LASP1,ENSG00000002834,32
SNX11,ENSG00000002919,33
TMEM176A,ENSG00000002933,34
M6PR,ENSG00000003056,35
KLHL13,ENSG00000003096,36
CYP26B1,ENSG00000003137,37
ICA1,ENSG00000003147,38
DBNDD1,ENSG00000003249,39
ALS2,ENSG00000003393,40
CASP10,ENSG00000003400,41
CFLAR,ENSG00000003402,42
TFPI,ENSG00000003436,43
NDUFAF7,ENSG00000003509,44
RBM5,ENSG00000003756,45
MTMR7,ENSG00000003987,46
SLC7A2,ENSG00000003989,47
ARF5,ENSG00000004059,48
SARM1,ENSG00000004139,49
POLDIP2,ENSG00000004142,50
PLXND1,ENSG00000004399,51
AK2,ENSG00000004455,52
CD38,ENSG00000004468,53
FKBP4,ENSG00000004478,54
KDM1A,ENSG00000004487,55
RBM6,ENSG00000004534,56
CAMKK1,ENSG00000004660,57
RECQL,ENSG00000004700,58
VPS50,ENSG00000004766,59
HSPB6,ENSG00000004776,60
ARHGAP33,ENSG00000004777,61
NDUFAB1,ENSG00000004779,62
PDK4,ENSG00000004799,63
SLC22A16,ENSG00000004809,64
ZMYND10,ENSG00000004838,65
ABCB5,ENSG00000004846,66
ARX,ENSG00000004848,67
SLC25A13,ENSG00000004864,68
ST7,ENSG00000004866,69
CDC27,ENSG00000004897,70
SLC4A1,ENSG00000004939,71
CALCR,ENSG00000004948,72
HCCS,ENSG00000004961,73
DVL2,ENSG00000004975,74
PRSS22,ENSG00000005001,75
UPF1,ENSG00000005007,76
SKAP2,ENSG00000005020,77
SLC25A5,ENSG00000005022,78
MCUB,ENSG00000005059,79
HOXA11,ENSG00000005073,80
POLR2J,ENSG00000005075,81
DHX33,ENSG00000005100,82
MEOX1,ENSG00000005102,83
THSD7A,ENSG00000005108,84
LIG3,ENSG00000005156,85
RPAP3,ENSG00000005175,86
ACSM3,ENSG00000005187,87
REXO5,ENSG00000005189,88
CIAPIN1,ENSG00000005194,89
SPPL2B,ENSG00000005206,90
ATOSB,ENSG00000005238,91
COPZ2,ENSG00000005243,92
PRKAR2B,ENSG00000005249,93
MSL3,ENSG00000005302,94
CREBBP,ENSG00000005339,95
TSPOAP1,ENSG00000005379,96
MPO,ENSG00000005381,97
PON1,ENSG00000005421,98
GCFC2,ENSG00000005436,99
WDR54,ENSG00000005448,100
CROT,ENSG00000005469,101
ABCB4,ENSG00000005471,102
KMT2E,ENSG00000005483,103
RHBDD2,ENSG00000005486,104
SOX8,ENSG00000005513,105
IBTK,ENSG00000005700,106
ZNF195,ENSG00000005801,107
MYCBP2,ENSG00000005810,108
FBXL3,ENSG00000005812,109
ITGAL,ENSG00000005844,110
PDK2,ENSG00000005882,111
ITGA3,ENSG00000005884,112
ZFX,ENSG00000005889,113
LAMP2,ENSG00000005893,114
ITGA2B,ENSG00000005961,115
ASB4,ENSG00000005981,116
GDE1,ENSG00000006007,117
REX1BD,ENSG00000006015,118
CRLF1,ENSG00000006016,119
OSBPL7,ENSG00000006025,120
TMEM98,ENSG00000006042,121
YBX2,ENSG00000006047,122
KRT33A,ENSG00000006059,123
MAP3K14,ENSG00000006062,124
ABCC8,ENSG00000006071,125
CACNG3,ENSG00000006116,126
TMEM132A,ENSG00000006118,127
AP2B1,ENSG00000006125,128
TAC1,ENSG00000006128,129
ZNF263,ENSG00000006194,130
CX3CL1,ENSG00000006210,131
SPATA20,ENSG00000006282,132
CACNA1G,ENSG00000006283,133
TNFRSF12A,ENSG00000006327,134
DLX6,ENSG00000006377,135
MAP3K9,ENSG00000006432,136
RALA,ENSG00000006451,137
BAIAP2L1,ENSG00000006453,138
KDM7A,ENSG00000006459,139
ETV1,ENSG00000006468,140
AGK,ENSG00000006530,141
ALDH3B1,ENSG00000006534,142
TTC22,ENSG00000006555,143
PHTF2,ENSG00000006576,144
