gene_symbol,ensembl_id,token_id,is_tf_collectri,is_tf_dorothea,is_tf,is_target_collectri,is_target_dorothea,is_target,collectri_n_targets,collectri_n_activated,collectri_n_repressed,collectri_targets,dorothea_n_targets,dorothea_n_activated,dorothea_n_repressed,dorothea_targets,collectri_n_regulators,dorothea_n_regulators
NFYA,ENSG00000001167,12,True,True,True,True,True,True,95,90,5,"ABCB1,ACLY,ACSBG1,ACTB,ADIPOQ,AKR1C1,AMELX,ASF1A,ASF1B,AURKA,BMAL1,CASP1,CBS,CCNB2,CCND2,CDC25A,CDC25C,CDK1,CDKN1B,CDKN2A,CDKN2A,CGA,CHEK2,CLDN11,COL1A2,CYC1,CYP2A6,DDIT3,DDIT3,E2F1,FAS,FDFT1,FDPS,FGF4,FGFR1,FMR1,FSHB,FXR2,GADD45A,GCH1,GFI1B,GNRHR,GPAM,HBB,HLA-E,HMGCS1,HOXB4,HOXB7,HPS5,HSPA1A,HSPA1B,HSPA5,IGF1,IGFBP1,IL10,IL4,JUNB,KCNA1,LDLR,LEF1,LPIN1,MAP2K3,MCM8,ME3,NOTCH1,NPR1,OGG1,PHGDH,PIWIL1,PLK1,PNRC2,PURA,RGS4,SCD,SCD5,SDHB,SDHC,SDHD,SLC13A4,SOX18,SOX3,SP3,SQLE,SREBF1,SREBF2,STAR,STK11,TGFBR2,TM7SF2,TNFSF11,TSC2,UHRF1,UQCRQ,VLDLR,ZNF267",518,518,0,"ABCA7,ABCB1,ACIN1,ACLY,ACTB,ADAMTSL5,ADGRD1,ADGRV1,AFAP1,AFF1,AHCYL2,AHNAK,AIP,AK2,AKR1D1,ALDH1A2,ALDH4A1,AMN1,ANAPC5,ANKRD11,ANKS6,AP2A1,AP2S1,AP3M2,ARAF,ARAP1,ARID1A,ARID1B,ARL4A,ARRB2,ARRDC2,ARRDC3,ARVCF,ATF7,ATF7IP,ATOSB,ATP8B3,BAHCC1,BCAS3,BCAT2,BCR,BORCS6,BRCA1,BRSK2,BZW2,C12orf76,C19orf81,C1QTNF6,C3,CACNA1A,CALCOCO1,CANX,CAPN2,CBS,CBX5,CBX8,CC2D1A,CCDC12,CCNB1,CCND2,CD74,CDC25A,CDCA3,CDCA8,CDKN1B,CDKN2A,CEACAM19,CELF5,CENPM,CENPU,CFL1,CHCHD6,CHD8,CHD9,CHP1,CIC,CIRBP,CLCN3,CLIP1,CLK3,CMIP,CNOT1,CNTRL,COPZ1,CORO1C,COTL1,CPT1A,CREB3L1,CREB3L2,CREB3L3,CREBRF,CRYZL1,CTBS,CTC1,CTNND1,CUX1,CYB5B,CYP2A6,CYRIB,DBN1,DCAKD,DCTN4,DDIT3,DDX19B,DDX54,DEK,DHX34,DIAPH1,DNAJB1,DNAJC11,DNM1,DNM2,DOCK4,DOCK6,DPF1,DPF3,DPP9,DYNLL1,DYRK1A,E2F1,ECE1,ECSIT,EEF2K,EEIG1,EHD1,EIF1,EIF2AK3,EML2,EMP3,ENSA,EPB41,EPOR,ERCC2,ESYT1,ETFB,EVI5L,EXD1,EXOC4,EXOSC2,EXTL3,F11R,FADS1,FAM117A,FAM222B,FAM228B,FANCC,FAS,FBH1,FBXL20,FCHO1,FDPS,FDXR,FER,FGD6,FHAD1,FLYWCH1,FMR1,FOSB,FRYL,FXR2,FYN,GABBR2,GADD45A,GARNL3,GART,GATAD2A,GDF15,GDPD5,GFI1B,GFOD1,GNA12,GPR137,GPR158,GRB2,GRK6,GRPEL1,GSE1,GTF2IRD1,GYS1,H1-2,H2BC11,H2BC17,H2BC5,H4C6,HBB,HDAC5,HIP1,HJURP,HJV,HK1,HLA-DOA,HLA-DQA2,HLA-DRA,HMCN2,HMGCS1,HMGN1,HNRNPA1,HOXB4,HOXB7,HPCAL1,HS1BP3,HSD17B12,HSPA5,IGF2BP3,IGFBP1,ING1,INKA2,INPP5B,INSIG1,IQCG,ISOC2,ITPR1,ITSN1,JUNB,KAT7,KCNAB2,KCNK15,KCTD2,KDM2B,KDM3B,KDM4A,KDM4B,KDM6B,KIAA0319L,KIAA1755,KIF17,KIF1B,KLF10,KLF9,KLHL24,KPNB1,KSR1,KYAT3,LDLR,LMNA,LMNB1,LPIN1,LPL,LRRC14,LRRC51,LTBP4,LUC7L2,LZIC,MAD1L1,MAF1,MAMSTR,MAN2B2,MAP1LC3B,MAP2K3,MARK4,MAST1,MAST3,MAT2B,MCCC1,MCF2L2,MCM7,MCM8,MEAK7,MED15,MED24,MIA3,MICAL3,MIR22HG,MKNK2,MNT,MPZL1,MRPL18,MRPL34,MRPS27,MRTFA,MSI2,MTFR1,MTFR2,MTMR12,MTR,MVB12A,MVK,MXD3,MYH9,MYO18A,MYO1D,NAA60,NARF,NBR1,NCOR2,NDRG4,NDUFAF6,NEDD4L,NEK7,NF2,NFATC2IP,NFE2L1,NFIA,NFYC,NGDN,NICN1,NLK,NMT1,NOS3,NOTCH3,NR4A1,NRL,NUCB2,OARD1,OGG1,OPA3,OSBPL2,OSBPL3,OSBPL6,OSBPL9,OXR1,OXSR1,PACSIN2,PAK4,PASK,PC,PCBP1,PCNA,PCNT,PDE4A,PDIK1L,PDZD7,PER1,PFKFB3,PGAP2,PGD,PHF19,PHTF2,PIGT,PIK3R3,PIP5KL1,PITPNC1,PLCG1,PLEKHA4,PLXDC1,PNKP,PNPLA8,PNRC1,PNRC2,PPCDC,PPFIA3,PPHLN1,PPIL1,PPM1D,PPP1R7,PPP2R5C,PRCD,PRKD2,PRPF19,PRPF31,PRPF40A,PRPF40B,PTBP1,PTCH1,PTK2B,PTMA,PTP4A2,PTTG1,PURA,RAB11B,RAB31,RAB40C,RAB4B,RABGAP1L,RAD51B,RALGDS,RALGPS1,RASGEF1C,RBM15,RERE,RFX1,RFX2,RGS3,RGS9,RHNO1,RHOF,RHPN1,RNF20,RPS6KA5,RSBN1L,RUVBL1,SAP130,SARDH,SAT1,SBNO2,SCARB1,SCGB2A1,SEC14L1,SEC22C,SEC31A,SEC31B,SEPTIN9,SERTAD2,SERTAD3,SETD5,SFXN3,SGMS1,SH2D3A,SH2D3C,SH3D21,SHARPIN,SHKBP1,SIN3A,SIRT2,SIVA1,SLC16A1,SLC25A12,SLC25A25,SLC25A42,SLC27A1,SLC35F2,SLC39A1,SMAD3,SMAD6,SMIM7,SMYD3,SND1,SNX11,SNX14,SOD2,SORBS1,SOX18,SOX3,SP1,SP3,SPIDR,SPRYD3,SPTBN4,SREBF1,SREBF2,SRF,SRGAP2,SRRM3,SS18L2,SSBP3,ST3GAL2,STAP2,STAT3,STK10,STK11,STXBP5,SULT2B1,SUN2,TANGO2,TAOK3,TBC1D31,TBCD,TCF3,TEF,TFDP2,TGFBR3,THADA,THUMPD3,TLE2,TLE3,TM7SF2,TMBIM6,TMEM120B,TMEM143,TMEM14C,TMEM160,TMEM161A,TMEM217,TMEM245,TMEM45A,TMEM94,TNPO2,TNRC6B,TOB1,TOM1L2,TOMT,TP53,TP53BP1,TRIO,TRIQK,TROAP,TSTD2,TTF2,TTLL5,TUBA1C,TULP3,TYK2,UBE2V1,UBP1,UNC13A,UQCC1,USP5,VASP,VCL,VPS37C,VRK3,VSIG10L,WDR37,WDR89,WIPI1,XXYLT1,YPEL5,YWHAZ,ZBTB20,ZBTB32,ZBTB7B,ZFPM2,ZMYND8,ZNF213,ZNF263,ZNF385A,ZNF398,ZNF564,ZNF57,ZNF584,ZNF608,ZNF627,ZNF653,ZNF672,ZNF775,ZNF789,ZSCAN5A,ZSWIM4",29,9
ARX,ENSG00000004848,67,True,True,True,True,True,True,27,20,7,"ACKR3,CHGA,DLX1,EBF3,EGR1,ETS2,GAST,GCG,GHRL,HMGN3,IGF1,KDM5C,LGI1,LMO1,LMO3,MEIS1,PAX4,PHLDA1,PLPP1,RASGEF1B,SCT,SHH,SHOX2,SLC12A5,SLIT2,SST,TGFB3",4,1,3,"KDM5C,LMO1,PAX4,SHOX2",6,13
HOXA11,ENSG00000005073,80,True,True,True,True,True,True,8,4,4,"ASXL3,COL3A1,EGFR,HOXA10,MMP2,MYOD1,PRL,TP53",2,1,1,"HOXA10,PRL",1,3
MEOX1,ENSG00000005102,83,True,False,True,True,True,True,9,7,2,"CDKN1A,CDKN2A,CDKN2A,EYA2,FOXC1,FOXC2,GLI1,GLI2,NKX3-2",0,0,0,,1,15
CREBBP,ENSG00000005339,95,True,False,True,True,True,True,36,35,1,"ALOX15,BRCA1,CCK,CDKN1A,CREB1,CSF2,EGFR,EP300,ERCC1,EZH2,FDPS,HINFP,HMGCR,HMGCS1,HOXA10,HOXA9,IFNB1,IL4,INSM1,IRF1,LDLR,LHB,MST1,MYC,PCK2,PPARA,PSMC5,PTGS2,RAD51,RARA,RS1,S100A4,SETDB1,SLC1A2,TP53,TRIM22",0,0,0,,91,41
KMT2E,ENSG00000005483,103,True,False,True,True,True,True,4,4,0,"CCNA2,CDC6,CDK1,E2F1",0,0,0,,3,25
SOX8,ENSG00000005513,105,True,True,True,True,True,True,4,3,1,"AMH,BEST1,MYOG,VNN1",1,1,0,CLDN23,1,6
ZNF195,ENSG00000005801,107,True,False,True,False,True,True,1,1,0,JUN,0,0,0,,0,12
ZFX,ENSG00000005889,113,True,True,True,False,True,True,5,4,1,"FBP1,HLA-A,HLA-E,NOTCH1,OCRL",442,442,0,"ABHD14B,ABTB1,ACAD11,ACBD5,ACOT7,ACOX1,ACTB,ACTG1,ACYP2,ADAM17,ADAR,ADD1,AGAP3,AGO2,AGPAT3,AKAP8,ALDOA,AMD1,ANAPC5,ANGEL2,ANKRD11,ANKRD13D,ANKRD54,ANP32B,ANXA4,AP1G2,AP3D1,AP5B1,APEH,APIP,ARFGAP2,ARHGDIA,ARID1A,ARID1B,ARID2,ARPC4,ARPC5L,ASH2L,ATG16L2,ATL3,ATP1B3,ATP2A2,ATP5MF,ATP5PF,ATXN2,ATXN7,AZIN1,BBC3,BCAR3,BRD1,BTBD19,BTF3,C2orf42,CAND1,CANX,CAP1,CAPG,CARS2,CBFA2T2,CCDC88C,CCNE2,CCT6B,CDC25C,CDK13,CDKN2AIP,CELF1,CENPT,CERS5,CGGBP1,CHCHD4,CHFR,CHRAC1,CIRBP,CLIP1,CNIH3,CNOT6L,CNOT9,CPNE1,CPSF6,CREB1,CTBP1,CTBP2,CTDNEP1,CTDSP1,CTDSP2,CUL3,CUL4A,CYB5R3,DALRD3,DCAF6,DCAKD,DDX42,DDX6,DERL2,DGCR8,DHX30,DIDO1,DNAJB1,DNAJB9,DPP9,DSE,DUSP1,DVL3,ECPAS,EDF1,EEA1,EEF1A1,EFCAB2,EIF5,EPM2AIP1,ERBIN,ERCC6L2,ERCC6L2-AS1,ETS2,EVI5,EXOSC3,FAM193A,FAM228B,FAM53C,FAM76B,FAM83D,FASN,FBXL5,FBXW4,FCHSD2,FIS1,FNBP4,FOXK2,FOXM1,G3BP1,GABPA,GALT,GAPDH,GLUL,GMPS,GNAS,GNB1,GNB2,GPBP1L1,GPR137,GPX4,GRAMD1A,GRK6,GRSF1,H2AX,H3-3B,HDAC7,HECTD1,HERC3,HEXIM2,HHEX,HIPK3,HIRA,HLCS,HMGA1,HMGN1,HMGXB4,HNRNPA0,HNRNPA3,HNRNPF,HNRNPH1,HNRNPH3,HNRNPL,HNRNPLL,HNRNPU,HSP90B1,HSPA4,HSPA8,IFRD1,ILKAP,ING1,ING5,INPPL1,INTS6,IREB2,JMJD1C,KBTBD2,KCMF1,KCTD3,KEAP1,KIF2A,KLHDC2,KLHL21,KMT2D,LARP1,LIG4,LIMD2,LMNA,LNPEP,LRRC14,MAN2A2,MAP1LC3B,MAPKAPK5,MAZ,MCM4,MCM7,MED15,MFSD3,MGAT1,MGAT4B,MGRN1,MIA2,MIDN,MNT,MPC2,MRPL36,MSH6,MSL2,MYADM,MYL5,MYO1C,NAA38,NACC2,NADK2,NAP1L1,NCAPD3,NCL,NCOR1,NDUFAF3,NELFA,NEMP1,NF2,NFE2L2,NFYB,NHLRC4,NIPBL,NNT,NOP16,NSD1,NSD2,NUCB2,NUDC,NUDT3,NUP153,NUP210,PABPC1,PACS2,PAFAH1B1,PAIP1,PAN3,PARK7,PARP10,PARVB,PCBP1,PCGF5,PCID2,PDHX,PFKFB3,PHF10,PHF12,PHF2,PIEZO1,PIGQ,PIGX,PKNOX1,PLEC,PLEKHJ1,PLOD3,PNPLA8,POGK,POLR2H,PPHLN1,PPP4R3A,PPP6R1,PRKAR1B,PRPF31,PRPF8,PRPSAP1,PSD,PSMA1,PSMG2,PTCD1,PTGES3,PTMA,PTP4A2,PTPN23,PUM1,PUM2,PYURF,QRICH1,QSER1,RAB35,RAI1,RAN,RBM12,RBM33,RBM7,RC3H1,RCC1,RHNO1,RHO,RHOF,RNF103,RNF138,RNF32,RNF38,RNF4,RNF6,RP1,RPL22,RPL6,RPL8,RPLP2,RPN1,RPS19,RPS29,RPS5,RTEL1,RUNX1,S100A11,S100A2,SCAF4,SEC14L1,SEC22C,SEC24B,SENP6,SEPHS1,SEPTIN2,SESN1,SETD4,SETD5,SETD9,SFMBT1,SH2B1,SH2D6,SH3GLB1,SH3YL1,SHLD2,SHTN1,SIN3A,SKIDA1,SLC3A2,SMAD2,SMCHD1,SOCS6,SOD2,SP3,SPAG7,SPG7,SPHK1,SPIDR,SPRY4,SQSTM1,SRRM1,SRRM2,SRSF10,SRSF11,SRSF5,STIP1,STMN3,SUV39H2,SYNCRIP,SZRD1,TADA3,TAF1D,TBC1D17,TBCK,TBL1XR1,TDRD3,TEAD3,TEN1,TENT2,TENT4A,TEX9,THUMPD3,TK2,TMCO1,TMEM129,TMEM43,TMEM69,TNIP1,TNPO2,TOMM20,TOR1A,TP53BP2,TP53I13,TRIM8,TST,TTC7A,TUBA1C,TULP3,TUT4,UBA5,UBAP2L,UBC,UBE2D3,UBE2E1,UBE2G1,UBE2N,UBE3A,UBTF,UBXN2A,UQCRC2,URGCP,USF2,USP12,USP22,USP3,USP36,USP37,USP39,USP47,UTP11,UTS2B,VDAC3,VPS54,WAC,WDR26,WEE1,WIZ,WRNIP1,XXYLT1,YAF2,YTHDF2,YWHAZ,ZBTB1,ZBTB25,ZBTB4,ZBTB7A,ZFAND2A,ZFR,ZMYND8,ZNF131,ZNF143,ZNF219,ZNF236,ZNF263,ZNF280D,ZNF343,ZNF398,ZNF48,ZNF496,ZNF497,ZNF529,ZNF639,ZNF644,ZNF692,ZNF706,ZNF721,ZNF76,ZNF821,ZNHIT2",0,22
YBX2,ENSG00000006047,122,True,False,True,True,True,True,1,1,0,PRM1,0,0,0,,2,5
